created_at,Tweets (#),Active Influencers (#),Average SA
2017-12-25 00:00:00,302,38,0.1091465128261485
2017-12-26 00:00:00,278,44,0.08031443027396266
2017-12-27 00:00:00,414,44,0.0974129028959947
2017-12-28 00:00:00,446,45,0.08062184666977264
2017-12-29 00:00:00,402,50,0.08990810512732154
2017-12-30 00:00:00,560,48,0.10147523813818457
2017-12-31 00:00:00,440,40,0.11455903242380511
2018-01-01 00:00:00,289,44,0.11000214328155505
2018-01-02 00:00:00,425,52,0.10575801899625428
2018-01-03 00:00:00,462,48,0.10838966884286154
2018-01-04 00:00:00,449,52,0.08704883092243892
2018-01-05 00:00:00,497,47,0.10067983659532954
2018-01-06 00:00:00,418,42,0.09688981406684748
2018-01-07 00:00:00,392,40,0.07796101549385989
2018-01-08 00:00:00,472,46,0.06857210911832204
2018-01-09 00:00:00,378,48,0.09457417261236697
2018-01-10 00:00:00,405,46,0.08210761420792288
2018-01-11 00:00:00,427,47,0.06061477451553567
2018-01-12 00:00:00,350,50,0.07211087975516547
2018-01-13 00:00:00,284,47,0.08074017103462523
2018-01-14 00:00:00,254,38,0.07817361608208066
2018-01-15 00:00:00,328,43,0.08236059876494327
2018-01-16 00:00:00,420,45,0.076252756304542
2018-01-17 00:00:00,476,49,0.11983901515151514
2018-01-18 00:00:00,421,51,0.10739125504564934
2018-01-19 00:00:00,335,45,0.07334823986129958
2018-01-20 00:00:00,289,43,0.10474223284084873
2018-01-21 00:00:00,255,41,0.09543759562877215
2018-01-22 00:00:00,451,49,0.08422421008202602
2018-01-23 00:00:00,366,46,0.11739527150900103
2018-01-24 00:00:00,451,51,0.10332338075409031
2018-01-25 00:00:00,473,44,0.10092351138994902
2018-01-26 00:00:00,405,45,0.10250231444367251
2018-01-27 00:00:00,265,42,0.0912149230922816
2018-01-28 00:00:00,334,41,0.09456370808167221
2018-01-29 00:00:00,330,43,0.08750889577594122
2018-01-30 00:00:00,405,48,0.08708355453417181
2018-01-31 00:00:00,390,50,0.11047140822140816
2018-02-01 00:00:00,366,45,0.08083767958665504
2018-02-02 00:00:00,311,46,0.10195854676763035
2018-02-03 00:00:00,229,42,0.11629463169856184
2018-02-04 00:00:00,202,39,0.08565652100924381
2018-02-05 00:00:00,344,45,0.07779837480564228
2018-02-06 00:00:00,537,47,0.12056553161301757
2018-02-07 00:00:00,353,51,0.09352123507328888
2018-02-08 00:00:00,395,49,0.10943398725044289
2018-02-09 00:00:00,407,48,0.11099848165757259
2018-02-10 00:00:00,350,46,0.10363140245997389
2018-02-11 00:00:00,250,41,0.13217440211640222
